key,text:fa,ipa:fa,audio:fa,audio source:fa,tags:fa
alive,زنده,/zende/,[sound:al_fa_ir_alive.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
April,آوریل,/ɒːvɾil/,[sound:al_fa_ir_april.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
art,هنر,/honæɾ/,[sound:al_fa_ir_art.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
August,اوت,/ut/,[sound:al_fa_ir_august.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
bad,بد,/bæd/,[sound:al_fa_ir_bad.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
beautiful,زیبا,/zibɒː/,[sound:al_fa_ir_beautiful.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
beer,آبجو,/ɒːbd͡ʒu/,[sound:al_fa_ir_beer.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
big / large,بزرگ,/bozoɾg/,[sound:al_fa_ir_big_large.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
black,سیاه,/sijɒːh/,[sound:al_fa_ir_black.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
blind,کور,/kuɾ/,[sound:al_fa_ir_blind.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
blood,خون,/xun/,[sound:al_fa_ir_blood.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
blue,آبی,/ɒːbi/,[sound:al_fa_ir_blue.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
breakfast,صبحانه,/sobhɒːne/,[sound:al_fa_ir_breakfast.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
brown,قهوه‌ای,/ɢæhveʔi/,[sound:al_fa_ir_brown.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
cheap,ارزان,/æɾzɒːn/,[sound:al_fa_ir_cheap.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
clay,خاک رس,/xɒːke ɾes/,[sound:al_fa_ir_clay.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
clean,تمیز,/tæmiz/,[sound:al_fa_ir_clean.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
coffee,قهوه,/ɢæhve/,[sound:al_fa_ir_coffee.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
cold,سرد,/særd/,[sound:al_fa_ir_cold.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
cool,خنک,/xonæk/,[sound:al_fa_ir_cool.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
copper,مس,/mes/,[sound:al_fa_ir_copper.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
curved,منحنی,/monhæni/,[sound:al_fa_ir_curved.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
dark,تاریک,/tɒːɾik/,[sound:al_fa_ir_dark.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
dark blue,سرمه‌ای,/soɾmeʔi/,[sound:al_fa_ir_dark_blue.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
dead,مرده,/moɾde/,[sound:al_fa_ir_dead.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
deaf,کر,/kæɾ/,[sound:al_fa_ir_deaf.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
death,مرگ,/mæɾg/,[sound:al_fa_ir_death.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
December,دسامبر,/desɒːmbɾ/,[sound:al_fa_ir_december.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
deep,عمیق,/ʔæmiɢ/,[sound:al_fa_ir_deep.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
diamond,الماس,/ælmɒːs/,[sound:al_fa_ir_diamond.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
dinner,شام,/ʃɒːm/,[sound:al_fa_ir_dinner.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
dirty,کثیف,/kæsif/,[sound:al_fa_ir_dirty.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
disease,بیماری,/bimɒːɾi/,[sound:al_fa_ir_disease.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
down,پایین,/pɒːjin/,[sound:al_fa_ir_down.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
dry,خشک,/xoʃk/,[sound:al_fa_ir_dry.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
dust,گرد و خاک,/gæɾdo xɒːk/,[sound:al_fa_ir_dust.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
Earth,زمین,/zæmin/,[sound:al_fa_ir_earth.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
eight (8),هشت,/hæʃt/,[sound:al_fa_ir_eight_8.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
eighteen (18),هجده,/hid͡ʒdæh/,[sound:al_fa_ir_eighteen_18.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
eighty (80),هشتاد,/hæʃtɒːd/,[sound:al_fa_ir_eighty_80.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
eighty-one (81),هشتاد و یک,/hæʃtɒːdo jek/,[sound:al_fa_ir_eighty_one_81.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
eighty-two (82),هشتاد و دو,/hæʃtɒːdo do/,[sound:al_fa_ir_eighty_two_82.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
eleven (11),یازده,/jɒːzdæh/,[sound:al_fa_ir_eleven_11.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
energy,انرژی,/eneɾʒi/,[sound:al_fa_ir_energy.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
exercise,ورزش,/væɾzeʃ/,[sound:al_fa_ir_exercise.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
expensive,گران,/geɾɒːn/,[sound:al_fa_ir_expensive.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
famous,معروف,/mæʔɾuf/,[sound:al_fa_ir_famous.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
fast,سریع,/særiʔ/,[sound:al_fa_ir_fast.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
February,فوریه,/fevɾije/,[sound:al_fa_ir_february.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
female,مونث,/moʔænæs/,[sound:al_fa_ir_female.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
fifteen (15),پانزده,/pɒːnzdæh/,[sound:al_fa_ir_fifteen_15.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
fifth (5th),پنجم,/pænd͡ʒom/,[sound:al_fa_ir_fifth_5th.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
fifty (50),پنجاه,/pænd͡ʒɒːh/,[sound:al_fa_ir_fifty_50.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
fifty-one (51),پنجاه و یک,/pænd͡ʒɒːho jek/,[sound:al_fa_ir_fifty_one_51.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
fifty-two (52),پنجاه و دو,/pænd͡ʒɒːho do/,[sound:al_fa_ir_fifty_two_52.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
first (1st),اول,/ævæl/,[sound:al_fa_ir_first_1st.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
five (5),پنج,/pænd͡ʒ/,[sound:al_fa_ir_five_5.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
flat,صاف,/sɒːf/,[sound:al_fa_ir_flat.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
food,غذا,/ɢæzɒː/,[sound:al_fa_ir_food.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
forty (40),چهل,/t͡ʃehel/,[sound:al_fa_ir_forty_40.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
forty-one (41),چهل و یک,/t͡ʃehelo jek/,[sound:al_fa_ir_forty_one_41.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
forty-two (42),چهل و دو,/t͡ʃehelo do/,[sound:al_fa_ir_forty_two_42.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
four (4),چهار,/t͡ʃæhɒːɾ/,[sound:al_fa_ir_four_4.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
fourteen (14),چهارده,/t͡ʃæhɒːɾdæh/,[sound:al_fa_ir_fourteen_14.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
fourth (4th),چهارم,/t͡ʃæhɒːɾom/,[sound:al_fa_ir_fourth_4th.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
Friday,جمعه,/d͡ʒomʔe/,[sound:al_fa_ir_friday.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
glass [material],شیشه,/ʃiʃe/,[sound:al_fa_ir_glass.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
God,خدا,/xodɒː/,[sound:al_fa_ir_god.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
gold,طلا,/tælɒː/,[sound:al_fa_ir_gold.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
good,خوب,/xub/,[sound:al_fa_ir_good.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
gray,خاکستری,/xɒːkestæɾi/,[sound:al_fa_ir_gray.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
green,سبز,/sæbz/,[sound:al_fa_ir_green.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
happy,خوشحال,/xoʃhɒːl/,[sound:al_fa_ir_happy.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
hard,سخت,/sæxt/,[sound:al_fa_ir_hard.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
he,او,/u/,[sound:al_fa_ir_he.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
healthy,سالم,/sɒːlem/,[sound:al_fa_ir_healthy.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
heaven,بهشت,/beheʃt/,[sound:al_fa_ir_heaven.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
heavy,سنگین,/sængin/,[sound:al_fa_ir_heavy.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
hell,جهنم,/d͡ʒæhænæm/,[sound:al_fa_ir_hell.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
high,بلند,/bolænd/,[sound:al_fa_ir_high.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
hot,داغ,/dɒːɢ/,[sound:al_fa_ir_hot.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
I,من,/mæn/,[sound:al_fa_ir_i.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
it,آن,/ɒːn/,[sound:al_fa_ir_it.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
January,ژانویه,/ʒɒːnvije/,[sound:al_fa_ir_january.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
juice,آبمیوه,/ɒːbmive/,[sound:al_fa_ir_juice.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
July,ژوئیه,/ʒuʔije/,[sound:al_fa_ir_july.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
June,ژوئن,/ʒuʔæn/,[sound:al_fa_ir_june.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
left,چپ,/t͡ʃæp/,[sound:al_fa_ir_left.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
"light [opposite of ""dark""]",روشن,/ɾoʃæn/,[sound:al_fa_ir_light_opposite_of_dark.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
"light [opposite of ""heavy""]",سبک,/sabok/,[sound:al_fa_ir_light_opposite_of_heavy.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
light blue,آبی روشن,/ɒːbi ɾoʃæn/,[sound:al_fa_ir_light_blue.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
long,بلند,/bolænd/,[sound:al_fa_ir_long.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
loose,شل,/ʃol/,[sound:al_fa_ir_loose.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
loud,بلند,/bolænd/,[sound:al_fa_ir_loud.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
low,پایین,/pɒːjin/,[sound:al_fa_ir_low.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
lunch,ناهار,/nɒːhɒːɾ/,[sound:al_fa_ir_lunch.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
male,مذکر,/mozækæɾ/,[sound:al_fa_ir_male.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
March,مارس,/mɒːɾs/,[sound:al_fa_ir_march.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
marriage,ازدواج,/ezdovɒːd͡ʒ/,[sound:al_fa_ir_marriage.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
material,ماده,/mɒːde/,[sound:al_fa_ir_material.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
May,مه,/me/,[sound:al_fa_ir_may.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
mean,بدجنس,/bædd͡ʒens/,[sound:al_fa_ir_mean.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
medicine,دارو,/dɒːɾu/,[sound:al_fa_ir_medicine.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
metal,فلز,/fellez/,[sound:al_fa_ir_metal.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
milk,شیر,/ʃiɾ/,[sound:al_fa_ir_milk.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
Monday,دوشنبه,/doʃænbe/,[sound:al_fa_ir_monday.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
money,پول,/pul/,[sound:al_fa_ir_money.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
murder,قتل,/ɢætl/,[sound:al_fa_ir_murder.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
music,موسیقی,/musiɢi/,[sound:al_fa_ir_music.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
narrow,باریک,/bɒːɾik/,[sound:al_fa_ir_narrow.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
nature,طبیعت,/tæbiʔæt/,[sound:al_fa_ir_nature.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
new,جدید,/d͡ʒædid/,[sound:al_fa_ir_new.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
nice,خوش,/xoʃ/,[sound:al_fa_ir_nice.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
nine (9),نه,/noh/,[sound:al_fa_ir_nine_9.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
nineteen (19),نوزده,/nuzdæh/,[sound:al_fa_ir_nineteen_19.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
ninety (90),نود,/nævæd/,[sound:al_fa_ir_ninety_90.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
ninety-one (91),نود و یک,/nævædo jek/,[sound:al_fa_ir_ninety_one_91.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
ninety-two (92),نود و دو,/nævædo do/,[sound:al_fa_ir_ninety_two_92.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
no,نه,/næ/,[sound:al_fa_ir_no.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
November,نوامبر,/novɒːmbɾ/,[sound:al_fa_ir_november.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
nuclear,هسته‌ای,/hæsteʔi/,[sound:al_fa_ir_nuclear.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
October,اکتبر,/oktobɾ/,[sound:al_fa_ir_october.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
oil,روغن,/ɾoɢæn/,[sound:al_fa_ir_oil.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
"old [opposite of ""new""]",کهنه,/kohne/,[sound:al_fa_ir_old_opposite_of_new.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
"old [opposite of ""young""]",پیر,/piɾ/,[sound:al_fa_ir_old_opposite_of_young.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
one (1),یک,/jek/,[sound:al_fa_ir_one_1.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
"one billion (1,000,000,000)",یک میلیارد,/jek miljɒːɾd/,[sound:al_fa_ir_one_billion_1_000_000_000.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
one hundred (100),صد,/sæd/,[sound:al_fa_ir_one_hundred_100.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
one hundred eleven (111),صد و یازده,/sædo jɒːzdæh/,[sound:al_fa_ir_one_hundred_eleven_111.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
one hundred one (101),صد و یک,/sædo jek/,[sound:al_fa_ir_one_hundred_one_101.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
one hundred ten (110),صد و ده,/sædo dæh/,[sound:al_fa_ir_one_hundred_ten_110.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
"one hundred thousand (100,000)",صد هزار,/sæd hezɒːɾ/,[sound:al_fa_ir_one_hundred_thousand_100_000.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
one hundred two (102),صد و دو,/sædo do/,[sound:al_fa_ir_one_hundred_two_102.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
"one million (1,000,000)",یک میلیون,/jek miljun/,[sound:al_fa_ir_one_million_1_000_000.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
one thousand (1000),هزار,/hezɒːɾ/,[sound:al_fa_ir_one_thousand_1000.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
one thousand one (1001),هزار و یک,/hezɒːɾo jek/,[sound:al_fa_ir_one_thousand_one_1001.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
orange,نارنجی,/nɒːɾænd͡ʒi/,[sound:al_fa_ir_orange.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
pain,درد,/dæɾd/,[sound:al_fa_ir_pain.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
peace,صلح,/solh/,[sound:al_fa_ir_peace.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
pink,صورتی,/suɾæti/,[sound:al_fa_ir_pink.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
plastic,پلاستیک,/plɒːstik/,[sound:al_fa_ir_plastic.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
poison,سم,/sæm/,[sound:al_fa_ir_poison.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
poor,فقیر,/fæɢiɾ/,[sound:al_fa_ir_poor.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
prison,زندان,/zendɒːn/,[sound:al_fa_ir_prison.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
quiet,آرام,/ɒːɾɒːm/,[sound:al_fa_ir_quiet.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
race [human group],نژاد,/neʒɒːd/,[sound:al_fa_ir_race_ethnicity.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
race [sport],مسابقه,/mosɒːbeɢe/,[sound:al_fa_ir_race_sport.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
red,قرمز,/ɢeɾmez/,[sound:al_fa_ir_red.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
relationship,رابطه,/ɾɒːbete/,[sound:al_fa_ir_relationship.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
religion,دین,/din/,[sound:al_fa_ir_religion.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
rice,برنج,/beɾend͡ʒ/,[sound:al_fa_ir_rice.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
rich,ثروتمند,/seɾvætmænd/,[sound:al_fa_ir_rich.mp3],Google Cloud TTS<br>Voice: Achird,AnkiLangs::FA
right [direction],راست,/ɾɒːst/,[sound:al_fa_ir_right.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
sad,غمگین,/ɢæmgin/,[sound:al_fa_ir_sad.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
salt,نمک,/næmæk/,[sound:al_fa_ir_salt.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
Saturday,شنبه,/ʃænbe/,[sound:al_fa_ir_saturday.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
science,علم,/ʔelm/,[sound:al_fa_ir_science.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
second (2nd),دوم,/dovom/,[sound:al_fa_ir_second_2nd.mp3],Google Cloud TTS<br>Voice: Aoede,AnkiLangs::FA
September,سپتامبر,/septɒːmbɾ/,[sound:al_fa_ir_september.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
seven (7),هفت,/hæft/,[sound:al_fa_ir_seven_7.mp3],Google Cloud TTS<br>Voice: Achernar,AnkiLangs::FA
